name,year,bottles,images
Cune Reserva,2004,1,"assets/images/wine.jpg,assets/images/wine2.jpg"
Cune Crianza,2005,1,"assets/images/wine.jpg,assets/images/wine2.jpg"
La Rioja Alta Gran Reserva,1994,1,"assets/images/wine.jpg,assets/images/wine2.jpg"
Roda 1 Reserva,2001,1,"assets/images/wine.jpg,assets/images/wine2.jpg"
Pesquera Crianza,2000,1,"assets/images/wine.jpg,assets/images/wine2.jpg"
Barón de Chirel Marqués de Riscal Reserva,1999,1,"assets/images/wine.jpg,assets/images/wine2.jpg"
Monasterio de los Olivos,2014,1,"assets/images/wine.jpg,assets/images/wine2.jpg"
Mauro,2009,2,"assets/images/wine.jpg,assets/images/wine2.jpg"
Acantus Casa del Valle,,1,"assets/images/wine.jpg,assets/images/wine2.jpg"
Iñaki Núñez,2015,1,"assets/images/wine.jpg,assets/images/wine2.jpg"
Primitivus,2012,1,"assets/images/wine.jpg,assets/images/wine2.jpg"
Monasterio de los Olivos,2017,1,"assets/images/wine.jpg,assets/images/wine2.jpg"
Four Lines Verdejo,2014,1,"assets/images/wine.jpg,assets/images/wine2.jpg"
Terras do Apostol,,1,"assets/images/wine.jpg,assets/images/wine2.jpg"
Liberalia,2020,1,"assets/images/wine.jpg,assets/images/wine2.jpg"
Raimun Verdejo,2014,1,"assets/images/wine.jpg,assets/images/wine2.jpg"
Raimun Verdejo,2017,3,"assets/images/wine.jpg,assets/images/wine2.jpg"
Raimun Verdejo,2023,2,"assets/images/wine.jpg,assets/images/wine2.jpg"
Duque de Sevilla (familia Barbón y de Barbón),,1,"assets/images/wine.jpg,assets/images/wine2.jpg"
Guardia Civil,,1,"assets/images/wine.jpg,assets/images/wine2.jpg"
Maestresala,2021,6,"assets/images/wine.jpg,assets/images/wine2.jpg"
Viña Covatilla,2011,12,"assets/images/wine.jpg,assets/images/wine2.jpg"
Pago de Carraovejas Crianza (magnum),2001,1,"assets/images/wine.jpg,assets/images/wine2.jpg"
Pago de Carraovejas Crianza (magnum),2002,1,"assets/images/wine.jpg,assets/images/wine2.jpg"
Pago de Carraovejas Vendimia Seleccionada,2004,1,"assets/images/wine.jpg,assets/images/wine2.jpg"
Pago de Carraovejas Crianza,2006,1,"assets/images/wine.jpg,assets/images/wine2.jpg"
Pago de Carraovejas Crianza,2004,2,"assets/images/wine.jpg,assets/images/wine2.jpg"
Pago de Carraovejas Reserva,2004,14,"assets/images/wine.jpg,assets/images/wine2.jpg"
Imperial,1998,4,"assets/images/wine.jpg,assets/images/wine2.jpg"
Marqués de Riscal,2004,5,"assets/images/wine.jpg,assets/images/wine2.jpg"
Vega Sicilia vino de mesa,1980,1,"assets/images/wine.jpg,assets/images/wine2.jpg"
Vega Sicilia vino de mesa,1972,1,"assets/images/wine.jpg,assets/images/wine2.jpg"
Vega Sicilia,1982,1,"assets/images/wine.jpg,assets/images/wine2.jpg"
Viña Real Oro Reserva,2001,5,"assets/images/wine.jpg,assets/images/wine2.jpg"
Viña Real Rioja Crianza,2001,2,"assets/images/wine.jpg,assets/images/wine2.jpg"
Pintia Cosecha D.O.,2004,2,"assets/images/wine.jpg,assets/images/wine2.jpg"
Pintia Cosecha D.O.,2002,2,"assets/images/wine.jpg,assets/images/wine2.jpg"
Vega Sicilia Tinto Valbuena,2002,2,"assets/images/wine.jpg,assets/images/wine2.jpg"
Vega Sicilia (Pendiente de investigar algo más),,1,"assets/images/wine.jpg,assets/images/wine2.jpg"
Campillo Crianza,2004,2,"assets/images/wine.jpg,assets/images/wine2.jpg"
Dehesa de los Canónigos Reserva,2006,7,"assets/images/wine.jpg,assets/images/wine2.jpg"
Dehesa de los Canónigos Solideo,2009,3,"assets/images/wine.jpg,assets/images/wine2.jpg"
Dehesa de los Canónigos Solideo,2003,2,"assets/images/wine.jpg,assets/images/wine2.jpg"
Dehesa de los Canónigos Reserva,2001,1,"assets/images/wine.jpg,assets/images/wine2.jpg"
Dehesa de los Canónigos Crianza,1996,1,"assets/images/wine.jpg,assets/images/wine2.jpg"
Dehesa de los Canónigos Crianza,1990,1,"assets/images/wine.jpg,assets/images/wine2.jpg"
Muga Rioja,2004,9,"assets/images/wine.jpg,assets/images/wine2.jpg"
Muga Rioja,2003,5,"assets/images/wine.jpg,assets/images/wine2.jpg"
Dehesa de los Canónigos,1999,4,"assets/images/wine.jpg,assets/images/wine2.jpg"
Dehesa de los Canónigos (magnum),1999,1,"assets/images/wine.jpg,assets/images/wine2.jpg"
Viña Ardanza,1998,6,"assets/images/wine.jpg,assets/images/wine2.jpg"
Protos Serie Privada,2003,4,"assets/images/wine.jpg,assets/images/wine2.jpg"
Protos Gran Reserva,2004,3,"assets/images/wine.jpg,assets/images/wine2.jpg"
Protos Ribera Duero,2021,2,"assets/images/wine.jpg,assets/images/wine2.jpg"
Arzuaga Crianza,2005,2,"assets/images/wine.jpg,assets/images/wine2.jpg"
Viña Arana Reserva,1998,2,"assets/images/wine.jpg,assets/images/wine2.jpg"
Ramón Bilbao,2004,2,"assets/images/wine.jpg,assets/images/wine2.jpg"
Chateau Peybonhomme les Tours,2007,1,"assets/images/wine.jpg,assets/images/wine2.jpg"
Martínez Lacuesta,2001,4,"assets/images/wine.jpg,assets/images/wine2.jpg"
José Pariente Blanco,2018,2,"assets/images/wine.jpg,assets/images/wine2.jpg"
Viña Alberdi,1999,1,"assets/images/wine.jpg,assets/images/wine2.jpg"
Marqués de Vargas,1999,2,"assets/images/wine.jpg,assets/images/wine2.jpg"
